,chembl_id,standardized_smiles,wd_consensus_1,wd_chembl,wd_withdrawn,wd_drugbank,atc_code,name
2162,CHEMBL279516,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,1,0.0,1.0,1,C02CA02,INDORAMIN
2163,CHEMBL2107360,CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,0,0.0,None,None,None,PALIPERIDONE PALMITATE
2164,CHEMBL51,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,0,0.0,None,None,C02KD01,KETANSERIN
2165,CHEMBL1200878,CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,0,0.0,None,None,"A01AC01, C05AA12, D07AB09, D07XB02, H02AB08, R01AD11, R03BA06, S01BA05",TRIAMCINOLONE HEXACETONIDE
2166,CHEMBL2106988,CC(=O)OCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1(C)C,0,0.0,None,None,J01CE06,PENAMECILLIN
2167,CHEMBL2107004,CC12CCC3c4ccc(OC5CCCC5)cc4CCC3C1CC(O)C2O,0,0.0,None,None,None,QUINESTRADOL
2168,CHEMBL3547132,NC(Cc1cc(O)c(O)cc1F)C(=O)O,0,0.0,None,None,None,FLUORODOPA
2169,CHEMBL1697851,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0,0.0,None,None,N05AB05,THIOPROPAZATE
2170,CHEMBL1200986,CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,0,0.0,None,None,N05AD01,HALOPERIDOL DECANOATE
2171,CHEMBL530,CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O,0,0.0,None,1,J01CA11,AMDINOCILLIN
2172,CHEMBL850,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,1,1.0,1.0,1,J01MA09,SPARFLOXACIN
2173,CHEMBL604608,OCC1OC(O)(CO)C(O)C1O,0,0.0,None,None,V06DC02,FRUCTOSE
2174,CHEMBL64195,O=C(CCCl)NCc1ccccc1,0,0.0,None,None,N03AX30,BECLAMIDE
2175,CHEMBL116943,C1CCc2nnnn2CC1,1,None,1.0,experimental,"R07AB03, R07AB53",PENTYLENETETRAZOL
2176,CHEMBL75880,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1,1.0,None,0,C08EX02,PERHEXILINE
2177,CHEMBL21869,O=C(Nc1ccc(Br)cc1)c1cc(Br)ccc1O,1,1.0,None,None,None,DIBROMSALAN
2178,CHEMBL1201328,CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,0,0.0,None,1,None,CARPHENAZINE
2179,CHEMBL752,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,1,1.0,1.0,0,C01EB10,ADENOSINE PHOSPHATE
2180,CHEMBL53418,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,1,1.0,1.0,1,"A06AB03, A06AB53",DANTHRON
2181,CHEMBL531,CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,1,1.0,1.0,1,N04BC02,PERGOLIDE
2182,CHEMBL19490,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,1,1.0,1.0,1,M01AB04,ZOMEPIRAC
2183,CHEMBL187709,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1,1,1.0,1.0,None,None,TRIPARANOL
2184,CHEMBL188952,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,1,1.0,1.0,None,M01AE08,PIRPROFEN
